"";"Forward";"Complement";"Reverse";"RevComp"
"FWD.ForwardReads";0;0;0;0
"FWD.ReverseReads";0;0;0;1
"REV.ForwardReads";0;0;0;0
"REV.ReverseReads";0;0;0;0
