"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"557";"k__Fungi";NA;NA;NA;NA;NA;NA
"558";"k__Fungi";NA;NA;NA;NA;NA;NA
"559";"k__Fungi";"p__Glomeromycota";"c__Glomeromycetes";"o__Glomerales";"f__Glomeraceae";NA;NA
"560";"k__Fungi";"p__Basidiomycota";"c__Tremellomycetes";"o__Filobasidiales";"f__Piskurozymaceae";"g__Solicoccozyma";NA
"561";"k__Fungi";NA;NA;NA;NA;NA;NA
"562";"k__Fungi";NA;NA;NA;NA;NA;NA
"563";"k__Fungi";"p__Ascomycota";"c__Dothideomycetes";"o__Pleosporales";"f__Pleosporaceae";"g__Alternaria";NA
"564";"k__Fungi";NA;NA;NA;NA;NA;NA
"565";"k__Fungi";NA;NA;NA;NA;NA;NA
"566";"k__Fungi";"p__Basidiomycota";"c__Agaricomycetes";"o__Agaricales";"f__Tricholomataceae";"g__Mycena";NA
