"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"272";"k__Fungi";"p__Ascomycota";"c__Leotiomycetes";"o__Erysiphales";"f__Erysiphaceae";"g__Blumeria";NA
"273";"k__Fungi";"p__Ascomycota";"c__Dothideomycetes";"o__Pleosporales";NA;NA;NA
"274";"k__Fungi";"p__Basidiomycota";"c__Malasseziomycetes";"o__Malasseziales";"f__Malasseziaceae";"g__Malassezia";"s__globosa"
"275";"k__Fungi";NA;NA;NA;NA;NA;NA
"276";"k__Fungi";NA;NA;NA;NA;NA;NA
"277";"k__Fungi";NA;NA;NA;NA;NA;NA
"278";"k__Fungi";NA;NA;NA;NA;NA;NA
"279";"k__Fungi";NA;NA;NA;NA;NA;NA
"280";"k__Fungi";NA;NA;NA;NA;NA;NA
"281";"k__Fungi";"p__Basidiomycota";NA;NA;NA;NA;NA
"282";"k__Fungi";NA;NA;NA;NA;NA;NA
"283";"k__Fungi";"p__Ascomycota";"c__Pezizomycetes";"o__Pezizales";"f__Pyronemataceae";"g__Hydnocystis";NA
"284";"k__Fungi";NA;NA;NA;NA;NA;NA
"285";"k__Fungi";NA;NA;NA;NA;NA;NA
"286";"k__Fungi";"p__Ascomycota";"c__Saccharomycetes";"o__Saccharomycetales";"f__Saccharomycetaceae";"g__Torulaspora";"s__delbrueckii"
"287";"k__Fungi";"p__Basidiomycota";"c__Agaricomycetes";"o__Polyporales";"f__Polyporaceae";"g__Daedaleopsis";"s__confragosa"
"288";"k__Fungi";NA;NA;NA;NA;NA;NA
"289";"k__Fungi";NA;NA;NA;NA;NA;NA
"290";"k__Fungi";"p__Ascomycota";"c__Leotiomycetes";"o__Erysiphales";"f__Erysiphaceae";"g__Blumeria";NA
"291";"k__Fungi";"p__Basidiomycota";"c__Agaricomycetes";NA;NA;NA;NA
"292";"k__Fungi";NA;NA;NA;NA;NA;NA
"293";"k__Fungi";"p__Ascomycota";"c__Pezizomycotina_cls_Incertae_sedis";"o__Pezizomycotina_ord_Incertae_sedis";"f__Pezizomycotina_fam_Incertae_sedis";"g__Ciliophora";NA
"294";"k__Fungi";NA;NA;NA;NA;NA;NA
"295";"k__Fungi";"p__Basidiomycota";"c__Agaricomycetes";"o__Cantharellales";"f__Ceratobasidiaceae";NA;NA
"296";"k__Fungi";NA;NA;NA;NA;NA;NA
"297";"k__Fungi";NA;NA;NA;NA;NA;NA
"298";"k__Fungi";NA;NA;NA;NA;NA;NA
"299";"k__Fungi";NA;NA;NA;NA;NA;NA
"300";"k__Fungi";NA;NA;NA;NA;NA;NA
"301";"k__Fungi";NA;NA;NA;NA;NA;NA
"302";"k__Fungi";NA;NA;NA;NA;NA;NA
"303";"k__Fungi";"p__Basidiomycota";"c__Agaricomycetes";NA;NA;NA;NA
"304";"k__Fungi";NA;NA;NA;NA;NA;NA
"305";"k__Fungi";NA;NA;NA;NA;NA;NA
"306";"k__Fungi";"p__Ascomycota";"c__Dothideomycetes";NA;NA;NA;NA
"307";"k__Fungi";NA;NA;NA;NA;NA;NA
"308";"k__Fungi";NA;NA;NA;NA;NA;NA
"309";"k__Fungi";NA;NA;NA;NA;NA;NA
"310";"k__Fungi";NA;NA;NA;NA;NA;NA
"311";"k__Fungi";NA;NA;NA;NA;NA;NA
"312";"k__Fungi";NA;NA;NA;NA;NA;NA
"313";"k__Fungi";NA;NA;NA;NA;NA;NA
"314";"k__Fungi";NA;NA;NA;NA;NA;NA
"315";"k__Fungi";NA;NA;NA;NA;NA;NA
"316";"k__Fungi";"p__Basidiomycota";"c__Malasseziomycetes";"o__Malasseziales";"f__Malasseziaceae";"g__Malassezia";"s__globosa"
"317";"k__Fungi";NA;NA;NA;NA;NA;NA
"318";"k__Fungi";NA;NA;NA;NA;NA;NA
"319";"k__Fungi";NA;NA;NA;NA;NA;NA
"320";"k__Fungi";NA;NA;NA;NA;NA;NA
"321";"k__Fungi";"p__Basidiomycota";"c__Agaricomycetes";NA;NA;NA;NA
"322";"k__Fungi";NA;NA;NA;NA;NA;NA
"323";"k__Fungi";NA;NA;NA;NA;NA;NA
"324";"k__Fungi";NA;NA;NA;NA;NA;NA
"325";"k__Fungi";NA;NA;NA;NA;NA;NA
"326";"k__Fungi";NA;NA;NA;NA;NA;NA
"327";"k__Fungi";NA;NA;NA;NA;NA;NA
"328";"k__Fungi";NA;NA;NA;NA;NA;NA
"329";"k__Fungi";NA;NA;NA;NA;NA;NA
"330";"k__Fungi";NA;NA;NA;NA;NA;NA
"331";"k__Fungi";NA;NA;NA;NA;NA;NA
"332";"k__Fungi";"p__Ascomycota";"c__Sordariomycetes";"o__Xylariales";NA;NA;NA
"333";"k__Fungi";"p__Ascomycota";NA;NA;NA;NA;NA
"334";"k__Fungi";NA;NA;NA;NA;NA;NA
"335";"k__Fungi";NA;NA;NA;NA;NA;NA
"336";"k__Fungi";NA;NA;NA;NA;NA;NA
"337";"k__Fungi";"p__Ascomycota";"c__Dothideomycetes";"o__Pleosporales";"f__Lophiostomataceae";"g__Lophiostoma";NA
"338";"k__Fungi";NA;NA;NA;NA;NA;NA
"339";"k__Fungi";"p__Ascomycota";"c__Sordariomycetes";"o__Microascales";"f__Microascaceae";"g__Cephalotrichum";"s__telluricum"
"340";"k__Fungi";NA;NA;NA;NA;NA;NA
"341";"k__Fungi";"p__Basidiomycota";"c__Agaricomycetes";NA;NA;NA;NA
"342";"k__Fungi";"p__Basidiomycota";"c__Agaricomycetes";NA;NA;NA;NA
"343";"k__Fungi";NA;NA;NA;NA;NA;NA
"344";"k__Fungi";NA;NA;NA;NA;NA;NA
"345";"k__Fungi";NA;NA;NA;NA;NA;NA
"346";"k__Fungi";NA;NA;NA;NA;NA;NA
"347";"k__Fungi";NA;NA;NA;NA;NA;NA
"348";"k__Fungi";NA;NA;NA;NA;NA;NA
"349";"k__Fungi";"p__Ascomycota";"c__Sordariomycetes";"o__Glomerellales";"f__Plectosphaerellaceae";"g__Plectosphaerella";"s__cucumerina"
"350";"k__Fungi";NA;NA;NA;NA;NA;NA
"351";"k__Fungi";NA;NA;NA;NA;NA;NA
"352";"k__Fungi";NA;NA;NA;NA;NA;NA
"353";"k__Fungi";NA;NA;NA;NA;NA;NA
"354";"k__Fungi";"p__Ascomycota";"c__Sordariomycetes";"o__Diaporthales";NA;NA;NA
"355";"k__Fungi";"p__Basidiomycota";"c__Agaricomycetes";NA;NA;NA;NA
"356";"k__Fungi";NA;NA;NA;NA;NA;NA
"357";"k__Fungi";"p__Basidiomycota";NA;NA;NA;NA;NA
"358";"k__Fungi";NA;NA;NA;NA;NA;NA
"359";"k__Fungi";NA;NA;NA;NA;NA;NA
"360";"k__Fungi";NA;NA;NA;NA;NA;NA
