"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus"
"55";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Aerococcaceae";"Globicatella"
"56";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Klebsiella"
"57";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Klebsiella"
"58";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Paenalcaligenes"
"59";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus"
"60";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Delftia"
"61";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus"
"62";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";NA
"63";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus"
"64";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter"
"65";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus"
"66";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Paenibacillaceae";"Paenibacillus"
"67";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Providencia"
"68";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus"
"69";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Klebsiella"
"70";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter"
"71";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Klebsiella"
"72";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas"
"73";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Klebsiella"
"74";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Stenotrophomonas"
"75";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus"
"76";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";NA
"77";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus"
"78";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus"
"79";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus"
"80";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";NA
"81";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Stenotrophomonas"
"82";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Enterobacter"
"83";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";NA
"84";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter"
"85";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus"
"86";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Paenibacillaceae";"Paenibacillus"
"87";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus"
"88";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Oceanobacillus"
"89";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus"
"90";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Amphibacillus"
"91";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus"
"92";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";NA
"93";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus"
"94";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus"
"95";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";NA
"96";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";NA
"97";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Comamonas"
"98";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter"
"99";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter"
"100";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Acidovorax"
"101";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Stenotrophomonas"
"102";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Enterobacter"
"103";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Luteimonas"
"104";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas"
"105";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas"
"106";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Melissococcus"
"107";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Acidovorax"
"108";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus"
"109";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";NA
"110";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter"
"111";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter"
"112";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus"
"113";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Curvibacter"
"114";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Paenalcaligenes"
"115";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas"
"116";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Gracilibacillus"
"117";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella"
"118";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus"
"119";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Gracilibacillus"
"120";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Listeriaceae";"Listeria"
"121";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";NA
"122";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Melissococcus"
"123";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Melissococcus"
"124";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus"
"125";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Morganella"
"126";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Alcaligenes"
"127";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";NA
"128";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lactobacillus"
"129";"Bacteria";"Actinobacteria";"Actinobacteria";"Micrococcales";NA;NA
"130";"Bacteria";"Actinobacteria";"Actinobacteria";"Micrococcales";"Beutenbergiaceae";NA
"131";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Jeotgalicoccus"
"132";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Paenibacillaceae";"Paenibacillus"
"133";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";NA
"134";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter"
"135";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Oceanobacillus"
"136";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Stenotrophomonas"
"137";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Carnobacteriaceae";"Atopostipes"
"138";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Pantoea"
"139";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter"
"140";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus"
"141";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Jeotgalicoccus"
"142";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Acidovorax"
"143";"Bacteria";"Actinobacteria";"Actinobacteria";"Micrococcales";"Beutenbergiaceae";"Miniimonas"
"144";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Enterobacter"
"145";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus"
"146";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Massilia"
"147";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Neisseriaceae";NA
"148";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas"
"149";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus"
"150";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Acidovorax"
"151";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter"
"152";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Massilia"
"153";"Bacteria";"Actinobacteria";"Actinobacteria";"Micrococcales";NA;NA
"154";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Paenibacillaceae";"Paenibacillus"
"155";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus"
"156";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Morganella"
"157";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";NA
"158";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Massilia"
"159";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Aerococcaceae";"Globicatella"
"160";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter"
"161";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Massilia"
"162";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Alcaligenes"
"163";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Amphibacillus"
"164";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Morganella"
"165";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Massilia"
"166";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Neisseriaceae";NA
"167";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus"
"168";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";NA
"169";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Citrobacter"
"170";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas"
"171";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";NA
"172";"Bacteria";"Firmicutes";"Erysipelotrichia";"Erysipelotrichales";"Erysipelotrichaceae";"Erysipelothrix"
"173";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Paenalcaligenes"
"174";"Bacteria";"Actinobacteria";"Actinobacteria";"Micrococcales";NA;NA
"175";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus"
"176";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Massilia"
"177";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Planococcaceae";"Lysinibacillus"
"178";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Stenotrophomonas"
"179";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";NA
"180";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Pantoea"
"181";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";NA
"182";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Klebsiella"
"183";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";NA
"184";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus"
"185";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus"
"186";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus"
"187";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter"
"188";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Amphibacillus"
"189";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Paenibacillaceae";"Paenibacillus"
"190";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";NA
"191";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Oceanobacillus"
"192";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Aeribacillus"
